agreement_id,product_id,product_code,product_name,supplier_id,supplier_name,agreement_price_usd,agreement_price_local,local_currency,base_exchange_rate,agreement_start_date,agreement_end_date,minimum_quantity,payment_terms,agreement_conditions,created_by,created_date,is_active,updated_date
AG001,P914,MB-600650-HR-ST,,S003,DWN,24000.0,24000.0,CNY,1.0,2025-07-01,2026-07-01,1,NET 30,"SEUNGWOO, 25137,DW2405-YYDK09",master,2025-07-01 21:58:18,False,
AG002,P914,MB-600650-HR-ST,,S003,DWN,24000.0,24000.0,CNY,1.0,2025-07-01,2026-07-08,1,NET 30,"SEUNGWOO, 25137,DW2405-YYDK09",master,2025-07-01 21:59:12,False,
AG003,P914,MB-600650-HR-ST,,S003,DWN,24000.0,24000.0,CNY,1.0,2025-07-01,2026-07-02,1,NET 30,"승우 25137,DW2405-YYDK0",master,2025-07-01 22:00:33,False,
AG004,P866,MB-450500-HR-ST,,S003,DWN,11000.0,11000.0,CNY,1.0,2025-07-01,2026-07-02,1,NET 30,"승우 25144,DW2405-YYDK10",master,2025-07-01 22:01:36,True,2025-07-06 13:19:26
AG005,P914,MB-600650-HR-ST,,S003,DWN,18000.0,18000.0,CNY,1.0,2025-07-01,2026-07-01,1,NET 30,"승우 25186,DW2405-YYDK11",master,2025-07-01 22:03:21,true,2025-07-06 13:19:26
AG006,P914,MB-600650-HR-ST,,S003,DWN,24000.0,24000.0,CNY,1.0,2025-07-01,2026-07-01,1,NET 30,"승우25137,DW2405-YYDK09",master,2025-07-01 22:11:37,true,2025-07-06 13:19:26
AG007,P850,MB-400450-HR-ST,,S004,JIFULIMOLD,12700.0,12700.0,CNY,1.0,2025-07-01,2026-07-01,1,NET 30,"대광 BC4 BRACKET_CUV Nline,JFL20250622-004",master,2025-07-01 22:15:45,true,2025-07-06 13:19:26
AG008,P833,MB-350350-HR-ST,,S004,JIFULIMOLD,9300.0,9300.0,CNY,1.0,2025-07-01,2026-07-01,1,NET 30,"대광 BC4_BRACKET_CUV VE,JFL20250622-003",master,2025-07-01 22:17:05,true,2025-07-06 13:19:26
