impact_id,product_id,supplier_id,agreement_id,base_exchange_rate,current_exchange_rate,rate_change_percent,agreement_price_usd,current_equivalent_usd,price_impact_usd,price_impact_percent,analysis_date,alert_level
IM20250811191822000,P866,S003,AG004,1.0,7.1928,619.28,11000.0,1529.31,-9470.69,-86.1,2025-08-11,HIGH
IM20250811191822001,P914,S003,AG005,1.0,7.1928,619.28,18000.0,2502.5,-15497.5,-86.1,2025-08-11,HIGH
IM20250811191822002,P914,S003,AG006,1.0,7.1928,619.28,24000.0,3336.67,-20663.33,-86.1,2025-08-11,HIGH
IM20250811191822003,P850,S004,AG007,1.0,7.1928,619.28,12700.0,1765.65,-10934.35,-86.1,2025-08-11,HIGH
IM20250811191822004,P833,S004,AG008,1.0,7.1928,619.28,9300.0,1292.96,-8007.04,-86.1,2025-08-11,HIGH
